year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,2021,Summer,Academic English,AC ENG,20C,20010,A,ACADEMIC WRITING,LEC,"KHALIL, S.",0,0,0,0,0,22,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20015,B,ACADEMIC WRITING,LEC,"SPENCER, P.",0,0,0,0,0,22,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20020,C,ACADEMIC WRITING,LEC,"OH, H.",0,0,0,0,0,19,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20025,D,ACADEMIC WRITING,LEC,"LEVIN, K.",0,0,0,0,0,21,4,0,
2021-22,2021,Summer,Academic English,AC ENG,22A,20060,A,READING&VOCABULARY,LEC,"LIN, J.",16,1,1,0,1,8,1,0,3.58
2021-22,2021,Summer,Academic English,AC ENG,22A,20075,D,READING&VOCABULARY,LEC,"KARKAFI, L.",16,1,0,0,4,6,0,0,3.13
2021-22,2021,Summer,Academic English,AC ENG,22B,20090,A,ESL-READING & VOCAB,LEC,"MURANOVA, O.",0,0,0,0,0,23,3,0,
2021-22,2021,Summer,Academic English,AC ENG,139W,20120,A,ADV ACADMIC WRITING,SEM,"KIM, J.",18,1,0,0,2,1,1,0,3.57
2021-22,2021,Summer,African American Studies,AFAM,40A,20210,A,AFRICAN AMERICAN I,LEC,"CARTER, L.",28,4,2,0,2,4,0,0,3.56
2021-22,2021,Summer,African American Studies,AFAM,40B,20220,A,AFRICAN AMERICAN II,LEC,"MCDOUGALL, T.",14,3,1,0,0,2,0,0,3.67
2021-22,2021,Summer,Anthropology,ANTHRO,2A,60010,A,INTR SOCIOCULT ANTH,LEC,"COX, K.",69,8,2,2,4,3,1,0,3.58
2021-22,2021,Summer,Anthropology,ANTHRO,2A,60020,B,INTR SOCIOCULT ANTH,LEC,"PALMER, J.",42,17,7,2,6,3,1,0,3.16
2021-22,2021,Summer,Anthropology,ANTHRO,2B,60030,A,INTRO TO BIO ANTHRO,LEC,"EGAN, J.",6,7,2,1,3,1,1,0,2.62
2021-22,2021,Summer,Anthropology,ANTHRO,2D,60040,A,LANGUAGE & CULTURE,LEC,"MIDDLETON, C.",4,5,1,0,3,0,0,0,2.47
2021-22,2021,Summer,Anthropology,ANTHRO,10A,60050,A,PROBABILITY & STATS,LEC,"HUFFMAN, M.",9,3,6,0,1,2,0,0,2.94
2021-22,2021,Summer,Anthropology,ANTHRO,25A,60070,A,ENVIRON INJUSTICE,LEC,"FORTUN, K.",34,1,2,0,0,3,1,0,3.87
2021-22,2021,Summer,Anthropology,ANTHRO,30A,60080,A,GLOB ISS ANTH PERSP,LEC,"KOHLER, G.",19,1,1,0,2,1,0,0,3.51
2021-22,2021,Summer,Anthropology,ANTHRO,41A,60090,A,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",38,2,0,0,1,2,0,0,3.83
2021-22,2021,Summer,Anthropology,ANTHRO,41A,60100,B,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",17,0,0,1,0,0,1,0,3.83
2021-22,2021,Summer,Anthropology,ANTHRO,121AW,60110,A,KINSHP & SOCIAL ORG,LEC,"O'ROURKE, S.",22,4,0,0,0,1,1,0,3.79
2021-22,2021,Summer,Anthropology,ANTHRO,128B,60140,A,RACE GENDER&SCIENCE,LEC,"WILKINSON, A.",15,6,2,1,1,0,0,0,3.3
2021-22,2021,Summer,Anthropology,ANTHRO,134A,60150,A,MEDICAL ANTHRO,LEC,"HAMDY, S.",27,22,5,0,0,3,0,0,3.35
2021-22,2021,Summer,Anthropology,ANTHRO,136K,60160,A,WOMAN & THE BODY,LEC,"WENGER, S.",17,4,1,0,0,0,0,0,3.71
2021-22,2021,Summer,Anthropology,ANTHRO,162A,60170,A,LAT AM:PEOPLE&CULTR,LEC,"RICHART, R.",6,4,0,0,0,0,1,0,3.51
2021-22,2021,Summer,Art,ART,9C,1010,A,THEMATIC INVESTIGTN,LEC,"LEWIS, J.",66,13,3,0,0,27,1,0,3.72
2021-22,2021,Summer,Art,ART,12A,1015,A,ELECTRONIC CULTURE,LEC,"DONAHEY, K.",37,3,1,0,0,3,0,0,3.88
2021-22,2021,Summer,Art,ART,20A,1020,A,BASIC DRAWING I,STU,"KARNIG, M.",16,0,0,0,1,2,0,0,3.77
2021-22,2021,Summer,Art,ART,20A,1025,B,BASIC DRAWING I,STU,"KARNIG, M.",9,1,0,0,0,2,0,0,3.87
2021-22,2021,Summer,Art,ART,30A,1030,A,BASIC PAINTING I,STU,"WELTON, A.",13,2,0,0,1,2,0,0,3.64
2021-22,2021,Summer,Art,ART,50B,1040,A,INTERACT & EXPERNCE,LAB,"JACKSON, J.",14,4,0,0,1,2,0,0,3.56
2021-22,2021,Summer,Art,ART,65A,1045,A,FDNS MEDIA DESIGN,LEC,"JAVID, M.",35,4,0,0,0,2,2,0,3.88
2021-22,2021,Summer,Art,ART,71A,1050,A,INTRO TO PHOTO I,STU,CUPPET-MICHELSEN.,10,0,0,0,0,4,0,0,4.0
2021-22,2021,Summer,Art,ART,81A,1055,A,DIGIFILM PROD I,STU,"JACKSON, J.",13,1,0,0,0,1,1,0,3.95
2021-22,2021,Summer,Art,ART,95,1060,A,MOTION GRAPHICS,STU,"JAVID, M.",23,5,2,0,1,1,1,0,3.55
2021-22,2021,Summer,Art,ART,100,1100,A,PHOTOSHOP,STU,"VEGA, J.",22,0,0,0,1,1,1,0,3.8
2021-22,2021,Summer,Art,ART,100,1105,B,DIGITAL PHOTOGRAPHY,STU,"VEGA, J.",19,0,0,0,0,2,1,0,4.0
2021-22,2021,Summer,Art,ART,100,1110,C,PHOTOSHOP,STU,"VEGA, J.",24,2,0,0,0,1,0,0,3.91
2021-22,2021,Summer,Art,ART,100,1115,D,DIGITAL PHOTOGRAPHY,STU,"VEGA, J.",18,1,0,1,2,0,0,0,3.44
2021-22,2021,Summer,Art,ART,101W,1120,A,ARTISTS AS WRITERS,STU,"PHILLIPS, C.",24,0,0,0,0,1,0,0,4.0
2021-22,2021,Summer,Art,ART,128,1125,A,ISSUES IN NEW GENRE,SEM,"PARSONS, D.",16,0,0,0,0,0,0,0,4.0
2021-22,2021,Summer,Art History,ART HIS,40C,21020,A,MODERN ART EUR&AMER,LEC,"FUGFUGOSH-MUNOZ, S.",25,1,0,0,0,2,0,0,3.87
2021-22,2021,Summer,Art History,ART HIS,55,21030,A,DISNEYLAND,LEC,"BETANCOURT, R.",83,5,0,0,1,8,0,0,3.82
2021-22,2021,Summer,Asian American Studies,ASIANAM,51,21510,A,THE U.S. & ASIA,LEC,"HAYS, T.",28,1,0,0,0,2,0,0,3.93
2021-22,2021,Summer,Asian American Studies,ASIANAM,52,21520,A,ASAM COMMUNITIES,LEC,"LI, Q.",14,2,0,0,0,0,0,0,3.86
2021-22,2021,Summer,Asian American Studies,ASIANAM,54,21530,A,ASAM STORIES,LEC,"LEE, J.",47,2,0,0,0,2,0,0,3.95
2021-22,2021,Summer,Asian American Studies,ASIANAM,55,21540,A,ASAM & THE MEDIA,LEC,"CHO, J.",47,1,0,0,0,2,0,0,3.95
2021-22,2021,Summer,Asian American Studies,ASIANAM,114,21550,A,ASIANAM FILM&VIDEO,LEC,"SHROFF, B.",10,0,0,0,0,0,0,0,3.97
2021-22,2021,Summer,Asian American Studies,ASIANAM,132,21560,A,COMP MINORITY POLIT,LEC,"CHAN, N.",5,1,1,1,2,0,0,0,2.51
